id:INTEGER,ISBN_13,Title,Author,Price:FLOAT,Publisher,Publication_date,Pages:INTEGER
168,9781452128306,Goodnight Darth Vader,Jeffrey Brown,9.45,Chronicle Books,07/22/2014,64
169,9781607103134,Grimm's Complete Fairy Tales,Kenneth C. Mondschein,17.45,Canterbury Classics,11/24/2011,652
170,9781439187036,A Sudden Light: A Novel,Garth Stein,18.86,Simon & Schuster,09/30/2014,416
171,9780062236685,This Is the Story of a Happy Marriage,Ann Patchett,12.05,Harper Perennial,10/07/2014,320
172,9780316013697,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,13.5,"Little, Brown Books for Young Readers",04/01/2009,229
173,9780061537967,The Art of Racing in the Rain: A Novel,Garth Stein,9.67,Harper Paperbacks,06/09/2009,321
174,9781582406190,"The Walking Dead, Book One (Book 1)",Robert Kirkman,24.26,Image Comics,July 2006,304
175,9780062255662,The Ocean at the End of the Lane: A Novel,Neil Gaiman,9.45,William Morrow,06/03/2014,181
176,9780061208492,The Complete C. S. Lewis Signature Classics,C. S. Lewis,19.76,HarperCollins,02/06/2007,752
177,9781477468524,"Unicorns Are Jerks: a coloring book exposing the cold, hard, sparkly truth",Theo Nicole Lorenz,6.92,CreateSpace Independent Publishing Platform,08/29/2012,40
178,9780758278456,What She Left Behind,Ellen Marie Wiseman,11.51,Kensington,12/31/2013,336
179,9781101874080,Adultery: A novel,Paulo Coelho,17.11,Knopf,08/19/2014,272
180,9781451626117,The King's Curse (Cousins' War),Philippa Gregory,20.71,Touchstone,09/09/2014,624
181,9780062276452,Desert God: A Novel of Ancient Egypt,Wilbur Smith,17.89,William Morrow,10/21/2014,432
182,9780399167300,The Eye of Heaven (A Fargo Adventure),Clive Cussler,20.26,Putnam Adult,09/02/2014,400
183,9780307887443,Ready Player One: A Novel,Ernest Cline,9.57,Broadway Books,06/05/2012,384
184,9780425269022,Diary of a Mad Diva,Joan Rivers,16.65,Berkley Hardcover,07/01/2014,304
185,9780547868868,The Best American Short Stories 2014,Jennifer Egan,9.45,Mariner Books,10/07/2014,384
186,9780316204262,"Where'd You Go, Bernadette: A Novel",Maria Semple,13.49,Back Bay Books,04/02/2013,352
187,9781594632389,And the Mountains Echoed,Khaled Hosseini,12.76,Riverhead Trade,06/03/2014,448
188,9780345542922,Top Secret Twenty-One (Stephanie Plum),Janet Evanovich,16.09,Bantam,06/17/2014,341
189,9780062320056,The Heist: A Novel (Gabriel Allon),Daniel Silva,16.79,Harper,07/15/2014,496
190,9780544445789,The Hobbit and The Lord of the Rings: Deluxe Pocket Boxed Set,J.R.R. Tolkien,32.56,Houghton Mifflin Harcourt,10/21/2014,1504
191,9781617753787,You Have to F*****g Eat,Adam Mansbach,9.52,Akashic Books,11/12/2014,32
192,9780679734772,The House on Mango Street,Sandra Cisneros,7.17,Vintage,04/03/1991,110
193,9780345807298,The Circle,Dave Eggers,10.9,Vintage Books,04/22/2014,497
194,9781452106557,Darth Vader and Son,Jeffrey Brown,8.37,Chronicle Books,04/18/2012,64
195,9781405914000,Doctor Who: Essential Guide to 50 Years of Doctor Who,Justin Richards,12.65,PENGUIN GROUP,11/19/2013,208
196,9780679720201,The Stranger,Albert Camus,8.39,Vintage,03/13/1989,123
197,9781250045645,Seventh Grave and No Body (Charley Davidson),Darynda Jones,16.73,St. Martin's Press,10/21/2014,336
198,9780345539939,As Chimney Sweepers Come to Dust: A Flavia de Luce Novel,Alan Bradley,15.6,Delacorte Press,01/06/2015,416
199,9780060883287,One Hundred Years of Solitude (P.S.),Gabriel Garcia Marquez,9.03,Harper Perennial Modern Classics,02/21/2006,417
200,9780439139601,Harry Potter And The Goblet Of Fire,J.K. Rowling,8.99,Scholastic Paperbacks,07/30/2002,752
201,9781455581122,Mean Streak,Sandra Brown,23.4,Grand Central Publishing,08/19/2014,416
202,9781609414115,The Shack,Wm. Paul Young,7.2,Windblown Media,06/01/2011,304
203,9780307273604,Daily Rituals: How Artists Work,Mason Currey,15.06,Knopf,04/23/2013,304
204,9780761165781,"The Best of the Rejection Collection: 293 Cartoons That Were Too Dumb, Too Dark, or Too Naughty for The New Yorker",Matthew Diffee,10.82,Workman Publishing Company,10/19/2011,320
205,9780385349079,Dad Is Fat,Jim Gaffigan,10.11,Three Rivers Press,04/22/2014,288
206,9781449461072,Lullabies,Lang Leav,10.74,Andrews McMeel Publishing,09/16/2014,248
207,9780312428549,Home: A Novel,Marilynne Robinson,9.34,Picador,09/01/2009,336
208,9780743297332,The Sun Also Rises,Ernest Hemingway,8.48,Scribner,10/17/2006,251
209,9780425259863,Shadow Spell (Cousins O'Dwyer),Nora Roberts,10.11,Berkley,03/25/2014,352
210,9780743477123,Hamlet ( Folger Library Shakespeare),William Shakespeare,4.77,Simon & Schuster,07/01/2003,342
211,9780439785969,Harry Potter and the Half-Blood Prince (Book 6),J.K. Rowling,7.86,Scholastic Paperbacks,07/25/2006,652
212,9780989768412,Hardwired,Meredith Wild,12.54,Meredith Wild LLC,09/02/2013,326
213,9781616203214,The Storied Life of A. J. Fikry: A Novel,Gabrielle Zevin,16.86,Algonquin Books,04/01/2014,272
214,9780990505600,Hardline (Hacker),Meredith Wild,12.6,Meredith Wild,06/13/2014,262
215,9781400031702,The Secret History,Donna Tartt,9.01,Vintage,04/13/2004,576
216,9781439177723,I Am Pilgrim: A Thriller,Terry Hayes,17.07,Atria/Emily Bestler Books,05/27/2014,624
217,9780684801223,The Old Man and The Sea,Ernest Hemingway,6.78,Scribner,05/05/1995,128
218,9780300198058,Suspended Sentences: Three Novellas (The Margellos World Republic of Letters),Patrick Modiano,12.97,Yale University Press,11/11/2014,232
219,9780451469663,Only Enchanting: A Survivors' Club Novel,Mary Balogh,5.53,Signet,10/28/2014,400
220,9780547928227,"The Hobbit; or, There and Back Again",J. R. R. Tolkien,9.48,Houghton Mifflin Harcourt,09/18/2012,300
221,9780767905923,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,8.44,Broadway Books,10/08/2002,192
222,9781250010650,The Christmas Light,Donna VanLiere,13.48,St. Martin's Press,10/14/2014,224
223,9780399170874,Obsession in Death,J. D. Robb,17.43,Putnam Adult,02/10/2015,416
224,9780385539128,Stone Mattress: Nine Tales,Margaret Atwood,16.41,Nan A. Talese,09/16/2014,288
225,9780374152017,Faithful and Virtuous Night: Poems,Louise Glück,14.19,"Farrar, Straus and Giroux",09/09/2014,80
226,9780765338365,An Irish Doctor in Peace and at War: An Irish Country Novel (Irish Country Books),Patrick Taylor,16.7,Forge Books,10/14/2014,416
